         825644 function calls (824568 primitive calls) in 3.785 seconds

   Ordered by: cumulative time
   List reduced from 641 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.462    0.462    3.785    3.785 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:375(solve)
        1    1.226    1.226    1.226    1.226 /home/toruseo/UXsim-dev-cpp/uxsim/Utilities/Utilities.py:165(enumerate_k_random_routes)
       20    0.387    0.019    1.032    0.052 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1001(exec_simulation)
       21    0.000    0.000    0.631    0.030 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:26(wrapper)
       21    0.000    0.000    0.630    0.030 <string>:11(<lambda>)
       21    0.025    0.001    0.630    0.030 /home/toruseo/UXsim-dev-cpp/devlog/benchtestdta.py:115(_create_due_world)
       21    0.004    0.000    0.450    0.021 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:959(finalize_scenario)
       21    0.011    0.001    0.446    0.021 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:976(_setup_analyzer)
     6048    0.007    0.000    0.312    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:818(addLink)
     6048    0.295    0.000    0.303    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:116(__init__)
      756    0.008    0.000    0.278    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/scenario_reader_writer.py:15(wrapper)
     6048    0.132    0.000    0.267    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:210(init_after_tmax_fix)
       20    0.008    0.000    0.247    0.012 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:2020(link_to_pandas)
       20    0.000    0.000    0.239    0.012 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1181(simulation_terminated)
       20    0.045    0.002    0.220    0.011 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:183(link_analysis_coarse)
       20    0.001    0.000    0.216    0.011 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:98(basic_analysis)
      756    0.137    0.000    0.205    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:885(adddemand)
       20    0.001    0.000    0.183    0.009 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:1682(od_to_pandas)
       21    0.000    0.000    0.168    0.008 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:43(__init__)
       20    0.049    0.002    0.159    0.008 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:121(od_analysis)
       25    0.140    0.006    0.140    0.006 {method 'read' of '_io.BufferedReader' objects}
       21    0.000    0.000    0.131    0.006 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:22(load_font_data)
     4249    0.007    0.000    0.089    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/_methods.py:217(_std)
     4249    0.055    0.000    0.080    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/_methods.py:148(_var)
     6228    0.079    0.000    0.079    0.000 {built-in method numpy.array}
       20    0.071    0.004    0.071    0.004 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:73(_convert_cpp_result_to_names)
      756    0.059    0.000    0.066    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1028(_register_new_cpp_vehicles)
     2809    0.001    0.000    0.060    0.000 {method 'std' of 'numpy.ndarray' objects}
    30985    0.057    0.000    0.057    0.000 {built-in method numpy.zeros}
        1    0.048    0.048    0.048    0.048 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:47(_convert_od_routes_to_ids)
      756    0.001    0.000    0.045    0.000 /usr/lib/python3.13/inspect.py:3373(signature)
      756    0.001    0.000    0.045    0.000 /usr/lib/python3.13/inspect.py:3094(from_callable)
      756    0.008    0.000    0.043    0.000 /usr/lib/python3.13/inspect.py:2487(_signature_from_callable)
       40    0.002    0.000    0.042    0.001 /home/toruseo/.local/lib/python3.13/site-packages/pandas/core/frame.py:702(__init__)
       21    0.000    0.000    0.036    0.002 /home/toruseo/UXsim-dev-cpp/uxsim/utils.py:94(get_font_for_matplotlib)
        1    0.000    0.000    0.036    0.036 /home/toruseo/.local/lib/python3.13/site-packages/matplotlib/font_manager.py:275(findSystemFonts)
     5760    0.034    0.000    0.034    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:223(cum_arrival)
     1440    0.004    0.000    0.033    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3833(std)
      756    0.010    0.000    0.033    0.000 /usr/lib/python3.13/inspect.py:2383(_signature_from_function)
    11520    0.033    0.000    0.033    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:231(cum_departure)


